am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,event_id
0,ESP,24127,,263.0,"Hidalgo Portillo, Angel",42508,50,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 11:46', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:31', 'wave': 'early'}]",84,2026112
0,SCO,25131,187.0,128.0,"Hill, Calum",42648,168,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 08:03', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 12:08', 'wave': 'late'}]",10,2026112
0,CHN,27117,,,"Huang, Zijie",103916,34,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 11:35', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:20', 'wave': 'early'}]",,2026112
0,PHI,15978,,,"Jefferson Go, Lloyd",43934,31,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:30', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:15', 'wave': 'early'}]",,2026112
0,CHN,25893,,,"Jin, Bo",108609,39,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 11:35', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:20', 'wave': 'early'}]",,2026112
0,CHN,31187,,,"Jin, Zihao",102621,126,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 07:52', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 11:57', 'wave': 'late'}]",,2026112
0,SWE,28686,427.0,410.0,"Jonsson, Tobias",101407,99,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 07:41', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 11:46', 'wave': 'late'}]",91,2026112
0,ENG,25601,208.0,215.0,"Jordan, Matthew",42599,132,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:41', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 08:26', 'wave': 'early'}]",72,2026112
0,CHN,24730,,,"Jun, Liu",109206,15,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 11:46', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:31', 'wave': 'early'}]",,2026112
0,JPN,28268,227.0,197.0,"Kaneko, Kota",109004,77,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:51', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:26', 'wave': 'early'}]",112,2026112
0,JPN,20448,,355.0,"Katsuragawa, Yuto",100976,93,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 07:30', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 11:35', 'wave': 'late'}]",116,2026112
0,HKG,24298,,399.0,"Kho, Taichi",42237,71,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:03', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:08', 'wave': 'late'}]",,2026112
0,ENG,18219,,,"Killen, Matt",42209,52,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 13:02', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:37', 'wave': 'early'}]",,2026112
0,ENG,18027,176.0,261.0,"Kimsey, Nathan",39609,285,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 07:41', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 11:46', 'wave': 'late'}]",25,2026112
0,FRA,26213,,371.0,"Ko, Jeong Weon",43545,84,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:36', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:41', 'wave': 'late'}]",176,2026112
0,NZL,24369,265.0,185.0,"Kobori, Kazuma",104063,114,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:51', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 08:26', 'wave': 'early'}]",108,2026112
0,USA,22029,,,"Krug, Ben",109207,16,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:07', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:42', 'wave': 'early'}]",,2026112
1,CHN,25723,,,"Kuang, Yang",43246,24,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 08:36', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 12:41', 'wave': 'late'}]",,2026112
0,FRA,23733,181.0,210.0,"LaCroix, Frederic",41858,212,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:03', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:08', 'wave': 'late'}]",23,2026112
0,HKG,31898,,,"Lam, Isaac",43913,25,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:30', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:15', 'wave': 'early'}]",,2026112
0,ESP,9133,,475.0,"Larrazabal, Pablo",33337,50,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 07:52', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 11:57', 'wave': 'late'}]",127,2026112
0,SCO,14784,414.0,226.0,"Law, David",37562,64,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:41', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:26', 'wave': 'early'}]",118,2026112
0,RSA,18105,226.0,89.0,"Lawrence, Thriston",39791,145,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 07:52', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 11:57', 'wave': 'late'}]",73,2026112
